"","FacNum","County","Type","City.x","Name.x","Total","VacTot","VacPct","CondTot","CondPct","PMETot","PMEPct","PBETot","PBEPct","DTPTot","DTPPct","PolioTot","PolioPct","MMRTot","MMRPct","HIBTot","HIBPct","HepBTot","HepBPct","VariTot","VariPct","ReportYN","PBEPctCalc","Capacity","LicStatus","Name.y","Address","City.y","State","Zipcode","Telephone"
"8",90309286,"EL DORADO","PRIVATE","SHINGLE SPRINGS","RAINBOWLAND CHRISTIAN PRESCHOOL",30,"30",100,0,0,0,0,2,7,29,97,30,100,30,100,30,100,29,97,29,97,"'Y'",0.0666666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"10",90318114,"EL DORADO","PRIVATE","DIAMOND SPRINGS","COUNTRY KIDS DAYCARE AND PRESCHOOL",24,"9",38,15,63,0,0,1,4,8,33,20,83,20,83,23,96,16,67,20,83,"'Y'",0.0416666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"12",90319274,"EL DORADO","PRIVATE","SOUTH LAKE TAHOE","HOPE LUTHERAN PRESCHOOL",33,"29",88,4,12,0,0,5,15,27,82,27,82,26,79,28,85,27,82,25,76,"'Y'",0.151515151515152,NA,NA,NA,NA,NA,NA,NA,NA
"17",91000101,"EL DORADO","PRIVATE","PLACERVILLE","MONTESSORI CHRISTIAN DAY SCHOOL",16,"15",94,1,6,0,0,0,0,15,94,15,94,16,100,16,100,15,94,16,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"30",93610272,"EL DORADO","PRIVATE","EL DORADO HILLS","+ACI-PHOENIX SCHOOL",25,"22",88,3,12,0,0,0,0,24,96,25,100,24,96,25,100,25,100,24,96,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"37",93614058,"EL DORADO","PRIVATE","PLACERVILLE","FAMILY FIRST CHILDRENS CENTER",17,"12",71,5,29,0,0,3,18,9,53,13,76,13,76,11,65,12,71,10,59,"'Y'",0.176470588235294,NA,NA,NA,NA,NA,NA,NA,NA
"68",310309265,"PLACER","PRIVATE","ROSEVILLE","KINDERCARE LEARNING CENTER",25,"19",76,6,24,0,0,0,0,19,76,20,80,19,76,20,80,21,84,21,84,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"70",310310789,"PLACER","PRIVATE","ROSEVILLE","MERRYHILL COUNTRY SCHOOL",96,"43",45,53,55,0,0,1,1,44,46,61,64,55,57,71,74,56,58,53,55,"'Y'",0.0104166666666667,NA,NA,NA,NA,NA,NA,NA,NA
"89",313600854,"PLACER","PRIVATE","ROSEVILLE","LA PETITE ACADEMY+AC0-ROSEVILLE",24,"24",100,0,0,0,0,3,13,24,100,24,100,21,88,24,100,24,100,24,100,"'Y'",0.125,NA,NA,NA,NA,NA,NA,NA,NA
"101",313605651,"PLACER","HEAD START","LOOMIS","+ACI-KIDZKOUNT CHILD DEVELOPMENT CENTER",13,"12",92,1,8,0,0,0,0,12,92,13,100,12,92,13,100,13,100,12,92,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"110",313607170,"PLACER","PUBLIC","AUBURN","AUBURN ELEMENTARY STATE PRESCHOOL",22,"22",100,0,0,0,0,0,0,22,100,22,100,22,100,22,100,22,100,22,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"114",313609275,"PLACER","PRIVATE","ROCKLIN","+ACI-LITTLE ORCHARD PRESCHOOL",29,"29",100,0,0,0,0,2,7,28,97,28,97,27,93,28,97,27,93,28,97,"'Y'",0.0689655172413793,NA,NA,NA,NA,NA,NA,NA,NA
"119",313610639,"PLACER","PRIVATE","LINCOLN","MORNINGSTAR MONTESSORI SCHOOL",25,"19",76,6,24,0,0,2,8,17,68,22,88,23,92,23,92,21,84,23,92,"'Y'",0.08,NA,NA,NA,NA,NA,NA,NA,NA
"129",313614689,"PLACER","HEAD START","LINCOLN","KIDZKOUNT INF TODD DEVEL CTR LINC AND LINC HB",11,"6",55,5,45,0,0,1,9,6,55,10,91,10,91,11,100,9,82,9,82,"'Y'",0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA
"131",313615463,"PLACER","PRIVATE","AUBURN","OBRIEN CHILD DEVELOPMENT CENTER",24,"24",100,0,0,0,0,0,0,24,100,24,100,24,100,24,100,24,100,24,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"148",340300085,"SACRAMENTO","PRIVATE","SACRAMENTO","BUSY BEE",68,"56",82,12,18,0,0,1,1,60,88,64,94,67,99,68,100,56,82,63,93,"'Y'",0.0147058823529412,NA,NA,NA,NA,NA,NA,NA,NA
"161",340301511,"SACRAMENTO","PRIVATE","FAIR OAKS","FAIRVALE PRESCHOOL +ACY- DAY CARE",11,"7",64,4,36,0,0,0,0,7,64,11,100,11,100,11,100,11,100,8,73,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"169",340304139,"SACRAMENTO","PRIVATE","FAIR OAKS","FAITH LUTHERAN PRESCHOOL AND DAY CARE CENTER",29,"20",69,9,31,0,0,0,0,23,79,27,93,28,97,29,100,21,72,29,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"199",340309870,"SACRAMENTO","PRIVATE","SACRAMENTO","KINDERCARE (VINTAGE) LEARNING CENTER",49,"25",51,24,49,0,0,0,0,25,51,44,90,46,94,42,86,33,67,36,73,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"211",340313492,"SACRAMENTO","PRIVATE","ELK GROVE","EARLY BEGINNINGS LEARNING CENTER",25,"13",52,12,48,0,0,0,0,14,56,20,80,20,80,20,80,18,72,20,80,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"236",340317954,"SACRAMENTO","HEAD START","SACRAMENTO","FRUITRIDGE PRESCHOOL",41,"39",95,2,5,0,0,0,0,40,98,41,100,41,100,41,100,40,98,41,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"258",340320344,"SACRAMENTO","PRIVATE","SACRAMENTO","KELLIS PALS DAY CARE CENTER",16,"14",88,2,13,0,0,0,0,14,88,16,100,16,100,16,100,14,88,16,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"275",343600374,"SACRAMENTO","PRIVATE","ANTELOPE","SUNRISE KIDS CLUB +AC0- OAKHILL",38,"37",97,1,3,0,0,4,11,35,92,36,95,35,92,37,97,36,95,34,89,"'Y'",0.105263157894737,NA,NA,NA,NA,NA,NA,NA,NA
"291",343601262,"SACRAMENTO","PRIVATE","ELK GROVE","TREEHOUSE LEARNING CENTER+AC0-LAGUNA",46,"41",89,5,11,0,0,0,0,41,89,46,100,46,100,46,100,46,100,46,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"300",343602095,"SACRAMENTO","PRIVATE","SACRAMENTO","ARDEN MONTESSORI SCHOOL",14,"10",71,4,29,0,0,0,0,14,100,14,100,14,100,14,100,14,100,10,71,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"321",343603783,"SACRAMENTO","PRIVATE","ORANGEVALE","CLAIRES MONTESSORI",48,"42",88,6,13,0,0,0,0,45,94,45,94,48,100,48,100,48,100,48,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"322",343603941,"SACRAMENTO","PRIVATE","ORANGEVALE","CLAIRES MONTESSORI",31,"30",97,1,3,0,0,0,0,30,97,30,97,31,100,31,100,30,97,31,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"328",343604425,"SACRAMENTO","HEAD START","SACRAMENTO","MARK HOPKINS",24,"22",92,2,8,0,0,0,0,24,100,24,100,24,100,22,92,24,100,24,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"329",343604450,"SACRAMENTO","PRIVATE","ANTELOPE","SUNRISE KIDS CLUB (OLIVE GROVE)",42,"39",93,3,7,0,0,2,5,37,88,39,93,38,90,38,90,38,90,40,95,"'Y'",0.0476190476190476,NA,NA,NA,NA,NA,NA,NA,NA
"356",343606730,"SACRAMENTO","PRIVATE","SACRAMENTO","HAPPY TIME LEARNING CENTER",12,"6",50,6,50,0,0,0,0,6,50,8,67,9,75,9,75,9,75,8,67,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"357",343606780,"SACRAMENTO","HEAD START","SACRAMENTO","MAPLE PRESCHOOL",42,"38",90,4,10,0,0,0,0,42,100,42,100,42,100,38,90,42,100,42,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"381",343609105,"SACRAMENTO","HEAD START","SACRAMENTO","SETA+AC0-COUNTRYWOOD HEAD START",17,"17",100,0,0,0,0,0,0,17,100,17,100,17,100,17,100,17,100,17,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"398",343610258,"SACRAMENTO","PRIVATE","CARMICHAEL","+ACI-PHOENIX SCHOOL",42,"42",100,0,0,0,0,0,0,42,100,42,100,42,100,42,100,42,100,42,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"401",343610290,"SACRAMENTO","PRIVATE","SACRAMENTO","+ACI-PHOENIX SCHOOL",41,"41",100,0,0,0,0,0,0,41,100,41,100,41,100,41,100,41,100,41,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"403",343610368,"SACRAMENTO","PRIVATE","SACRAMENTO","MERRYHILL SCHOOL",66,"52",79,14,21,0,0,0,0,59,89,59,89,53,80,56,85,56,85,52,79,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"406",343610520,"SACRAMENTO","PRIVATE","SACRAMENTO","POPPY PATCH+AC0-PHASE III",14,"13",93,1,7,0,0,1,7,13,93,13,93,13,93,13,93,12,86,13,93,"'Y'",0.0714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"417",343611170,"SACRAMENTO","PRIVATE","SACRAMENTO","TOWN AND COUNTRY PRE+AC0-SCHOOL",34,"15",44,19,56,0,0,0,0,22,65,28,82,33,97,33,97,25,74,33,97,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"422",343611566,"SACRAMENTO","HEAD START","SACRAMENTO","WCIC+AC0-PLAYMATE CHILD DEVELOPMENT CENTER II",20,"20",100,0,0,0,0,0,0,20,100,20,100,20,100,20,100,20,100,20,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"441",343614182,"SACRAMENTO","PRIVATE","ELK GROVE","+ACI-STEPPING STONE LEARNING ACADEMY",37,"34",92,3,8,0,0,0,0,34,92,37,100,37,100,36,97,36,97,37,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"448",343614381,"SACRAMENTO","PRIVATE","SACRAMENTO","EARLY CHILDHOOD LEARNING CENTER OF NATOMAS",41,"35",85,6,15,1,2,0,0,40,98,40,98,38,93,35,85,40,98,40,98,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"479",343615432,"SACRAMENTO","PRIVATE","SACRAMENTO","+ACI-WORLD OF FUN",29,"20",69,9,31,0,0,0,0,22,76,27,93,25,86,29,100,29,100,25,86,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"492",343616193,"SACRAMENTO","PRIVATE","SACRAMENTO","ANNUNCIATION PRESCHOOL AND DAYCARE",14,"14",100,0,0,0,0,0,0,14,100,14,100,14,100,14,100,14,100,14,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"506",343616679,"SACRAMENTO","PRIVATE","SACRAMENTO","HAPPYTIME PRESCHOOL",12,"6",50,6,50,0,0,0,0,6,50,8,67,9,75,9,75,9,75,8,67,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"513",343616835,"SACRAMENTO","HEAD START","SACRAMENTO","GENERAL DAVIE JR INFANT TODDLER CENTER",12,"12",100,0,0,0,0,0,0,12,100,12,100,12,100,12,100,12,100,12,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"516",343616878,"SACRAMENTO","HEAD START","SACRAMENTO","CCLC +AC0- CAPITAL CITY",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'N'",NA,NA,NA,NA,NA,NA,NA,NA,NA
"519",343616952,"SACRAMENTO","PRIVATE","ELK GROVE","+ACI-ARISTA PRESCHOOL OF ELK GROVE",18,"8",44,10,56,0,0,0,0,15,83,16,89,15,83,16,89,8,44,15,83,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"520",343617080,"SACRAMENTO","PRIVATE","FOLSOM","SMART START CREATIVE LEARNING CENTER",44,"38",86,6,14,0,0,12,27,38,86,38,86,39,89,41,93,40,91,32,73,"'Y'",0.272727272727273,NA,NA,NA,NA,NA,NA,NA,NA
"522",343617198,"SACRAMENTO","PRIVATE","FOLSOM","SMART START CREATIVE LEARNING CENTER OF FOLSOM",44,"44",100,0,0,0,0,12,27,38,86,38,86,39,89,41,93,40,91,32,73,"'Y'",0.272727272727273,NA,NA,NA,NA,NA,NA,NA,NA
"530",515401838,"SUTTER","PUBLIC","SUTTER","BRITTAN STATE PRESCHOOL",31,"26",84,5,16,0,0,0,0,27,87,31,100,31,100,31,100,30,97,31,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"531",515401841,"SUTTER","PRIVATE","YUBA CITY","CREATIVE KIDS +AC0- PRESCHOOL",30,"21",70,9,30,0,0,0,0,24,80,29,97,25,83,30,100,25,83,27,90,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"532",515401844,"SUTTER","PRIVATE","YUBA CITY","CREATIVE KIDS PRESCHOOL +AC0- LINCOLN RD.",39,"39",100,0,0,0,0,0,0,39,100,39,100,39,100,39,100,39,100,39,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"533",515401846,"SUTTER","HEAD START","YUBA CITY","E CENTER HS PGMS +AC0- FAIRGROUNDS CENTER",101,"99",98,2,2,0,0,0,0,99,98,101,100,101,100,101,100,101,100,101,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"534",515401848,"SUTTER","HEAD START","LIVE OAK","E CENTER HS PGMS +AC0- LIVE OAK APRICOT CENTER",33,"33",100,0,0,0,0,0,0,33,100,33,100,33,100,33,100,33,100,33,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"535",515401850,"SUTTER","HEAD START","YUBA CITY","E CENTER HS PGMS +AC0- YUBA CITY CENTER",57,"57",100,0,0,0,0,0,0,57,100,57,100,57,100,57,100,57,100,57,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"536",515401852,"SUTTER","PRIVATE","YUBA CITY","FUSION PRESCHOOL ACADEMY 2",20,"14",70,6,30,0,0,0,0,15,75,20,100,19,95,20,100,19,95,16,80,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"537",515401854,"SUTTER","PRIVATE","YUBA CITY","GOOD SHEPHERD NURSERY SCHOOL",43,"36",84,7,16,0,0,3,7,33,77,37,86,37,86,38,88,35,81,38,88,"'Y'",0.0697674418604651,NA,NA,NA,NA,NA,NA,NA,NA
"538",515401855,"SUTTER","PRIVATE","YUBA CITY","GRACE CHRISTIAN PRESCHOOL",11,"11",100,0,0,0,0,0,0,11,100,11,100,11,100,11,100,11,100,11,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"539",515401856,"SUTTER","PRIVATE","YUBA CITY","HOLY ANGELS PRESCHOOL",24,"24",100,0,0,0,0,0,0,24,100,24,100,24,100,24,100,24,100,24,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"540",515401857,"SUTTER","PUBLIC","YUBA CITY","JACK AND JILL PLAYSCHOOL",49,"47",96,2,4,0,0,2,4,45,92,47,96,47,96,47,96,45,92,47,96,"'Y'",0.0408163265306122,NA,NA,NA,NA,NA,NA,NA,NA
"541",515401858,"SUTTER","PRIVATE","YUBA CITY","JOYFUL NOISE NURSERY SCHOOL",36,"35",97,1,3,1,3,0,0,34,94,36,100,36,100,36,100,35,97,36,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"542",515401861,"SUTTER","PRIVATE","YUBA CITY","KIDZ TOWN PRESCHOOL CENTER",17,"14",82,3,18,0,0,0,0,15,88,15,88,17,100,17,100,16,94,17,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"543",515401864,"SUTTER","PRIVATE","YUBA CITY","LITTLE RASCALS PRESCHOOL",39,"38",97,1,3,0,0,1,3,39,100,39,100,39,100,39,100,38,97,39,100,"'Y'",0.0256410256410256,NA,NA,NA,NA,NA,NA,NA,NA
"544",515401866,"SUTTER","PUBLIC","LIVE OAK","LIVE OAK CHILD CARE CENTER",50,"48",96,2,4,0,0,1,2,48,96,49,98,49,98,49,98,47,94,48,96,"'Y'",0.02,NA,NA,NA,NA,NA,NA,NA,NA
"545",515401868,"SUTTER","PUBLIC","E. NICOLAUS","MARCUM+AC0-ILLINOIS PRESCHOOL",23,"22",96,1,4,0,0,1,4,21,91,22,96,22,96,22,96,21,91,22,96,"'Y'",0.0434782608695652,NA,NA,NA,NA,NA,NA,NA,NA
"546",515401870,"SUTTER","PRIVATE","YUBA CITY","MOTHER GOOSE NURSERY SCHOOL",27,"18",67,9,33,0,0,0,0,20,74,23,85,26,96,26,96,23,85,25,93,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"547",515401871,"SUTTER","PRIVATE","LIVE OAK","MOTHERS HOUSE PRESCHOOL",24,"24",100,0,0,0,0,0,0,24,100,24,100,24,100,24,100,24,100,24,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"548",515401872,"SUTTER","PRIVATE","YUBA CITY","NEW ADVENTURES PRESCHOOL",79,"79",100,0,0,0,0,4,5,79,100,78,99,78,99,77,97,79,100,78,99,"'Y'",0.0506329113924051,NA,NA,NA,NA,NA,NA,NA,NA
"549",515401873,"SUTTER","PRIVATE","YUBA CITY","NOAHS ARK PRESCHOOL",31,"31",100,0,0,0,0,0,0,31,100,31,100,31,100,31,100,31,100,31,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"550",515401879,"SUTTER","PRIVATE","YUBA CITY","+ACI-YUBA SUTTER RAINBOW MONTESSORI SCHOOL",19,"17",89,2,11,0,0,0,0,18,95,19,100,19,100,19,100,18,95,19,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"555",515406028,"SUTTER","HEAD START","LIVE OAK","E CENTER HS PGMS +AC0- LIVE OAK APRICOT INFANT CENTER",77,"72",94,5,6,0,0,0,0,72,94,76,99,76,99,77,100,77,100,76,99,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"589",573604088,"YOLO","PRIVATE","WOODLAND","HOLY ROSARY PRESCHOOL",36,"36",100,0,0,0,0,0,0,36,100,36,100,36,100,36,100,36,100,36,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"595",573605818,"YOLO","PUBLIC","WOODLAND","BEAMER STATE PRESCHOOL",17,"16",94,1,6,0,0,0,0,16,94,16,94,17,100,17,100,16,94,17,100,"'Y'",0,NA,NA,NA,NA,NA,NA,NA,NA
"607",573614133,"YOLO","HEAD START","WEST SACRAMENTO","YOLO COUNTY OFFICE OF EDUCATION WESTFIELD SITE",24,"23",96,1,4,0,0,1,4,22,92,23,96,24,100,24,100,22,92,23,96,"'Y'",0.0416666666666667,NA,NA,NA,NA,NA,NA,NA,NA
