"","SchCode","COUNTY","PubPriv","District.x","CITY","Name","Total","UpToDateTot","UpToDatePct","CondTot","CondPct","PMETot","PMEPct","PBETot","PBEPct","DTPTot","DTPPct","PolioTot","PolioPct","MMRTot","MMRPct","HEPBTot","HEPBPct","VariTot","VariPct","REPORTED","PBEPctCalc","CDSCode","County","District.y","School","Street","City","Zip","State","Phone","AdmFName1","AdmLName1","AdmEmail1"
"82",1034001,"SACRAMENTO","PUBLIC","SACRAMENTO CITY UNIFIED","SACRAMENTO","BOWLING GREEN ELEMENTARY (KEN MCCOY ACADEMY)",64,45,70,19,30,0,0,0,0,47,73,49,77,48,75,61,95,60,94,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431",6133359,"PLACER","PRIVATE","","AUBURN","UNITED AUBURN INDIAN COMMUNITY LEARNING",13,5,38,5,38,0,0,3,23,6,46,5,38,6,46,9,69,9,69,"Y",0.230769230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433",6134811,"PLACER","PRIVATE","","NEWCASTLE","GATEPOSTS CHRISTIAN SCHOOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434",6135040,"SACRAMENTO","PRIVATE","","NORTH HIGHLANDS","PATHWAY CHRISTIAN SCHOOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436",6140644,"PLACER","PRIVATE","","LOOMIS","SMART START CREATIVE LEARNING CENTER",10,10,100,0,0,0,0,0,0,10,100,10,100,10,100,10,100,10,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440",6142939,"EL DORADO","PRIVATE","","CAMINO","SPARKMAN SCHOOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442",6204531,"SACRAMENTO","PRIVATE","","SACRAMENTO","LAND PARK ACADEMY FREEPORT CAMPUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445",6205116,"SACRAMENTO","PRIVATE","","ELK GROVE","REACH LEARNING ACADEMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446",6205843,"SACRAMENTO","PRIVATE","","FOLSOM","FOLSOM CRESCENT SCHOOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448",6901870,"PLACER","PRIVATE","","MEADOW VISTA","LIVE OAK WALDORF",24,15,63,0,0,0,0,9,38,15,63,15,63,15,63,15,63,15,63,"Y",0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454",6910145,"PLACER","PRIVATE","","AUBURN","AUBURN DISCOVERY MONTESSORI",10,8,80,0,0,0,0,2,20,8,80,8,80,8,80,8,80,8,80,"Y",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455",6915177,"SACRAMENTO","PRIVATE","","FOLSOM","FOLSOM MONTESSORI SCHOOL",10,10,100,0,0,0,0,0,0,10,100,10,100,10,100,10,100,10,100,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458",6922090,"SACRAMENTO","PRIVATE","","ELK GROVE","ELK GROVE MONTESSORI",12,0,0,12,100,0,0,0,0,12,100,12,100,1,8,12,100,9,75,"Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464",6942643,"PLACER","PRIVATE","","ROSEVILLE","AMERICAN MONTESSORI ACAD.",38,35,92,0,0,0,0,3,8,35,92,35,92,35,92,35,92,35,92,"Y",0.0789473684210526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"499",7006752,"SACRAMENTO","PRIVATE","","ELK GROVE","LITTLE LONDON MONTESSORI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505",7053408,"YUBA","PRIVATE","","OREGON HOUSE","LEWIS CARROLL ELEM.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515",7089352,"PLACER","PRIVATE","","GRANITE BAY","GRANITE BAY SCH. HOUSE",10,8,80,1,10,0,0,1,10,8,80,8,80,8,80,9,90,9,90,"Y",0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518",7099872,"YOLO","PRIVATE","","BROOKS","YOCHA DEHE WINTUN ACADEMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519",7100068,"SACRAMENTO","PRIVATE","","SACRAMENTO","ARDEN MONTESSORI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521",7101298,"SACRAMENTO","PRIVATE","","SACRAMENTO","FLORIN CHRISTIAN SCHOOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
